Versenyszám,Nem,Év,Helyezés,Név,Futó_név,Klub,Eredmény_sec
10 000 m,M,1945,1,Szegedi Ferenc Testvériség,Szegedi Ferenc,Testvériség,1974.4
10 000 m,M,1945,2,Németh Béla Munkás TE,Németh Béla,Munkás TE,1977.0
10 000 m,M,1945,3,Bíró János Bp. Vasas,Bíró János,Bp. Vasas,2011.2
10 000 m,M,1946,1,Németh Béla Munkás TE,Németh Béla,Munkás TE,1946.2
10 000 m,M,1946,2,Bíró János Bp. Vasas,Bíró János,Bp. Vasas,1966.4
10 000 m,M,1946,3,Szabó Miklós Kereskedelmi Alkalmazottak OE,Szabó Miklós,Kereskedelmi Alkalmazottak OE,1973.2
10 000 m,M,1947,1,Szilágyi Jenő Bp. Vasas,Szilágyi Jenő,Bp. Vasas,1894.2
10 000 m,M,1947,2,Szegedi Ferenc Testvériség,Szegedi Ferenc,Testvériség,1895.0
10 000 m,M,1947,3,Németh Béla Munkás TE,Németh Béla,Munkás TE,1898.6
10 000 m,M,1948,1,Szilágyi Jenő Bp. Vasas,Szilágyi Jenő,Bp. Vasas,1848.0
10 000 m,M,1948,2,Bácsfalvi László Győri Vasas ETO,Bácsfalvi László,Győri Vasas ETO,1849.0
10 000 m,M,1948,3,Esztergomi Mihály Előre,Esztergomi Mihály,Előre,1961.8
10 000 m,M,1949,1,Szilágyi Jenő Bp. Vasas,Szilágyi Jenő,Bp. Vasas,1901.0
10 000 m,M,1949,2,Esztergomi Mihály Előre,Esztergomi Mihály,Előre,1903.4
10 000 m,M,1949,3,Bácsfalvi László Győri Vasas ETO,Bácsfalvi László,Győri Vasas ETO,1935.6
10 000 m,M,1950,1,Szegedi Ferenc Győri Vasas,Szegedi Ferenc,Győri Vasas,1902.2
10 000 m,M,1950,2,Pénzes Gyula Csepeli Vasas,Pénzes Gyula,Csepeli Vasas,1902.6
10 000 m,M,1950,3,Esztergomi Mihály Előre,Esztergomi Mihály,Előre,1908.2
10 000 m,M,1951,1,Pénzes Gyula Budapest,Pénzes Gyula,Budapest,1896.8
10 000 m,M,1951,2,Pénzes Gyula Budapest,Pénzes Gyula,Budapest,1901.0
10 000 m,M,1951,3,Juhász Béla Budapest,Juhász Béla,Budapest,1922.0
10 000 m,M,1952,1,Kovács József Bástya SE,Kovács József,Bástya SE,1862.8
10 000 m,M,1952,2,Juhász Béla SZOT I.,Juhász Béla,SZOT I.,1869.8
